pta_key,pta_api,overload_signature,params,returns,forward_aclnn,backward_exists,backward_aclnn,composite,preprocess_needed,custom_output_needed,refs
"torch.max_unpool2d::(Tensor self, Tensor indices, SymInt[2] output_size)",torch.max_unpool2d,"(Tensor self, Tensor indices, SymInt[2] output_size)","[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""indices"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""output_size"", ""type"": ""SymInt[2]"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor""}]","[""aclnnMaxUnpool2d""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: max_unpool2d(Tensor self, Tensor indices, SymInt[2] output_size) -> Tensor""}]"
"torch.max_unpool2d::(Tensor self, Tensor indices, SymInt[2] output_size, *, Tensor(a!) out)",torch.max_unpool2d,"(Tensor self, Tensor indices, SymInt[2] output_size, *, Tensor(a!) out)","[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""indices"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""output_size"", ""type"": ""SymInt[2]"", ""required"": true, ""default"": null}, {""name"": ""out"", ""type"": ""Tensor(a!)"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor(a!)""}]","[""aclnnMaxUnpool2d""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: max_unpool2d.out(Tensor self, Tensor indices, SymInt[2] output_size, *, Tensor(a!) out) -> Tensor(a!)""}]"
"torch.max_unpool3d::(Tensor self, Tensor indices, SymInt[3] output_size, int[3] stride, int[3] padding)",torch.max_unpool3d,"(Tensor self, Tensor indices, SymInt[3] output_size, int[3] stride, int[3] padding)","[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""indices"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""output_size"", ""type"": ""SymInt[3]"", ""required"": true, ""default"": null}, {""name"": ""stride"", ""type"": ""int[3]"", ""required"": true, ""default"": null}, {""name"": ""padding"", ""type"": ""int[3]"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor""}]","[""aclnnMaxUnpool3d""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: max_unpool3d(Tensor self, Tensor indices, SymInt[3] output_size, int[3] stride, int[3] padding) -> Tensor""}]"
"torch.max_unpool3d::(Tensor self, Tensor indices, SymInt[3] output_size, int[3] stride, int[3] padding, *, Tensor(a!) out)",torch.max_unpool3d,"(Tensor self, Tensor indices, SymInt[3] output_size, int[3] stride, int[3] padding, *, Tensor(a!) out)","[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""indices"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""output_size"", ""type"": ""SymInt[3]"", ""required"": true, ""default"": null}, {""name"": ""stride"", ""type"": ""int[3]"", ""required"": true, ""default"": null}, {""name"": ""padding"", ""type"": ""int[3]"", ""required"": true, ""default"": null}, {""name"": ""out"", ""type"": ""Tensor(a!)"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor(a!)""}]","[""aclnnMaxUnpool3d""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: max_unpool3d.out(Tensor self, Tensor indices, SymInt[3] output_size, int[3] stride, int[3] padding, *, Tensor(a!) out) -> Tensor(a!)""}]"
"torch.maximum::(Tensor self, Tensor other)",torch.maximum,"(Tensor self, Tensor other)","[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""other"", ""type"": ""Tensor"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor""}]","[""aclnnMaximum"", ""aclnnMax"", ""aclnnMaxDim""]",false,[],true,true,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: maximum(Tensor self, Tensor other) -> Tensor""}, {""role"": ""forward_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/MaxKernelNpuOpApi.cpp"", ""pattern"": ""aclnnMaximum""}, {""role"": ""callchain_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/MaxKernelNpuOpApi.cpp"", ""pattern"": ""EXEC_NPU_CMD""}]"
"torch.maximum::(Tensor self, Tensor other, *, Tensor(a!) out)",torch.maximum,"(Tensor self, Tensor other, *, Tensor(a!) out)","[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""other"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""out"", ""type"": ""Tensor(a!)"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor(a!)""}]","[""aclnnMaximum"", ""aclnnMax"", ""aclnnMaxDim""]",false,[],true,true,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: maximum.out(Tensor self, Tensor other, *, Tensor(a!) out) -> Tensor(a!)""}, {""role"": ""forward_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/MaxKernelNpuOpApi.cpp"", ""pattern"": ""aclnnMaximum""}, {""role"": ""callchain_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/MaxKernelNpuOpApi.cpp"", ""pattern"": ""EXEC_NPU_CMD""}]"
"torch.mean::(Tensor self, *, ScalarType? dtype=None)",torch.mean,"(Tensor self, *, ScalarType? dtype=None)","[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""dtype"", ""type"": ""ScalarType?"", ""required"": false, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor""}]","[""aclnnMean""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: mean(Tensor self, *, ScalarType? dtype=None) -> Tensor""}, {""role"": ""forward_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/MeanKernelNpuOpApi.cpp"", ""pattern"": ""aclnnMean""}]"
"torch.mean::(Tensor self, Dimname[1] dim, bool keepdim=False, *, ScalarType? dtype=None)",torch.mean,"(Tensor self, Dimname[1] dim, bool keepdim=False, *, ScalarType? dtype=None)","[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""dim"", ""type"": ""Dimname[1]"", ""required"": true, ""default"": null}, {""name"": ""keepdim"", ""type"": ""bool"", ""required"": false, ""default"": false}, {""name"": ""dtype"", ""type"": ""ScalarType?"", ""required"": false, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor""}]","[""aclnnMean""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: mean.names_dim(Tensor self, Dimname[1] dim, bool keepdim=False, *, ScalarType? dtype=None) -> Tensor""}, {""role"": ""forward_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/MeanKernelNpuOpApi.cpp"", ""pattern"": ""aclnnMean""}]"
"torch.mean::(Tensor self, Dimname[1] dim, bool keepdim=False, *, ScalarType? dtype=None, Tensor(a!) out)",torch.mean,"(Tensor self, Dimname[1] dim, bool keepdim=False, *, ScalarType? dtype=None, Tensor(a!) out)","[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""dim"", ""type"": ""Dimname[1]"", ""required"": true, ""default"": null}, {""name"": ""keepdim"", ""type"": ""bool"", ""required"": false, ""default"": false}, {""name"": ""dtype"", ""type"": ""ScalarType?"", ""required"": false, ""default"": null}, {""name"": ""out"", ""type"": ""Tensor(a!)"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor(a!)""}]","[""aclnnMean""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: mean.names_out(Tensor self, Dimname[1] dim, bool keepdim=False, *, ScalarType? dtype=None, Tensor(a!) out) -> Tensor(a!)""}, {""role"": ""forward_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/MeanKernelNpuOpApi.cpp"", ""pattern"": ""aclnnMean""}]"
"torch.mean::(Tensor self, int[1]? dim, bool keepdim=False, *, ScalarType? dtype=None)",torch.mean,"(Tensor self, int[1]? dim, bool keepdim=False, *, ScalarType? dtype=None)","[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""dim"", ""type"": ""int[1]?"", ""required"": true, ""default"": null}, {""name"": ""keepdim"", ""type"": ""bool"", ""required"": false, ""default"": false}, {""name"": ""dtype"", ""type"": ""ScalarType?"", ""required"": false, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor""}]","[""aclnnMean""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: mean.dim(Tensor self, int[1]? dim, bool keepdim=False, *, ScalarType? dtype=None) -> Tensor""}, {""role"": ""forward_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/MeanKernelNpuOpApi.cpp"", ""pattern"": ""aclnnMean""}]"
