pta_key,pta_api,overload_signature,params,returns,forward_aclnn,backward_exists,backward_aclnn,composite,preprocess_needed,custom_output_needed,refs
"torch.__ior__::(Tensor(a!) self, Scalar other)",torch.__ior__,"(Tensor(a!) self, Scalar other)","[{""name"": ""self"", ""type"": ""Tensor(a!)"", ""required"": true, ""default"": null}, {""name"": ""other"", ""type"": ""Scalar"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor(a!)""}]","[""aclnnInplaceBitwiseOrScalar"", ""aclnnInplaceBitwiseOrTensor""]",false,[],false,true,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: __ior__.Scalar(Tensor(a!) self, Scalar other) -> Tensor(a!)""}, {""role"": ""forward_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/__Ior__KernelNpuOpApi.cpp"", ""pattern"": ""aclnnInplaceBitwiseOrScalar""}]"
"torch.__ior__::(Tensor(a!) self, Tensor other)",torch.__ior__,"(Tensor(a!) self, Tensor other)","[{""name"": ""self"", ""type"": ""Tensor(a!)"", ""required"": true, ""default"": null}, {""name"": ""other"", ""type"": ""Tensor"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor(a!)""}]","[""aclnnInplaceBitwiseOrScalar"", ""aclnnInplaceBitwiseOrTensor""]",false,[],false,true,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: __ior__.Tensor(Tensor(a!) self, Tensor other) -> Tensor(a!)""}, {""role"": ""forward_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/__Ior__KernelNpuOpApi.cpp"", ""pattern"": ""aclnnInplaceBitwiseOrScalar""}]"
"torch._adaptive_avg_pool2d::(Tensor self, SymInt[2] output_size)",torch._adaptive_avg_pool2d,"(Tensor self, SymInt[2] output_size)","[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""output_size"", ""type"": ""SymInt[2]"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor""}]","[""aclnnAdaptiveAvgPool2d""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _adaptive_avg_pool2d(Tensor self, SymInt[2] output_size) -> Tensor""}, {""role"": ""forward_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/AdaptiveAvgPool2dKernelNpuOpApi.cpp"", ""pattern"": ""aclnnAdaptiveAvgPool2d""}]"
"torch._adaptive_avg_pool2d_backward::(Tensor grad_output, Tensor self)",torch._adaptive_avg_pool2d_backward,"(Tensor grad_output, Tensor self)","[{""name"": ""grad_output"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor""}]","[""aclnnAdaptiveAvgPool2dBackward""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _adaptive_avg_pool2d_backward(Tensor grad_output, Tensor self) -> Tensor""}]"
"torch._adaptive_avg_pool3d::(Tensor self, SymInt[3] output_size)",torch._adaptive_avg_pool3d,"(Tensor self, SymInt[3] output_size)","[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""output_size"", ""type"": ""SymInt[3]"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor""}]","[""aclnnAdaptiveAvgPool3d""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _adaptive_avg_pool3d(Tensor self, SymInt[3] output_size) -> Tensor""}]"
"torch._adaptive_avg_pool3d_backward::(Tensor grad_output, Tensor self)",torch._adaptive_avg_pool3d_backward,"(Tensor grad_output, Tensor self)","[{""name"": ""grad_output"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor""}]","[""aclnnAdaptiveAvgPool3dBackward""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _adaptive_avg_pool3d_backward(Tensor grad_output, Tensor self) -> Tensor""}]"
"torch._add_relu::(Tensor self, Tensor other, *, Scalar alpha=1)",torch._add_relu,"(Tensor self, Tensor other, *, Scalar alpha=1)","[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""other"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""alpha"", ""type"": ""Scalar"", ""required"": false, ""default"": 1}]","[{""name"": ""output"", ""type"": ""Tensor""}]","[""aclnnAddRelu""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _add_relu.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor""}]"
"torch._add_relu::(Tensor self, Tensor other, *, Scalar alpha=1, Tensor(a!) out)",torch._add_relu,"(Tensor self, Tensor other, *, Scalar alpha=1, Tensor(a!) out)","[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""other"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""alpha"", ""type"": ""Scalar"", ""required"": false, ""default"": 1}, {""name"": ""out"", ""type"": ""Tensor(a!)"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor(a!)""}]","[""aclnnAddRelu""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _add_relu.out(Tensor self, Tensor other, *, Scalar alpha=1, Tensor(a!) out) -> Tensor(a!)""}]"
"torch._add_relu::(Tensor(a!) self, Tensor other, *, Scalar alpha=1)",torch._add_relu,"(Tensor(a!) self, Tensor other, *, Scalar alpha=1)","[{""name"": ""self"", ""type"": ""Tensor(a!)"", ""required"": true, ""default"": null}, {""name"": ""other"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""alpha"", ""type"": ""Scalar"", ""required"": false, ""default"": 1}]","[{""name"": ""output"", ""type"": ""Tensor(a!)""}]","[""aclnnInplaceAddRelu""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _add_relu_.Tensor(Tensor(a!) self, Tensor other, *, Scalar alpha=1) -> Tensor(a!)""}]"
torch._aminmax::(Tensor self),torch._aminmax,(Tensor self),"[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}]","[{""name"": ""output0"", ""type"": ""Tensor""}, {""name"": ""output1"", ""type"": ""Tensor""}]","[""aclnnAminmaxAll""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _aminmax(Tensor self) -> (Tensor, Tensor)""}, {""role"": ""forward_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/AminmaxKernelNpuOpApi.cpp"", ""pattern"": ""aclnnAminmaxAll""}]"
"torch._aminmax::(Tensor self, int dim, bool keepdim=False)",torch._aminmax,"(Tensor self, int dim, bool keepdim=False)","[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""dim"", ""type"": ""int"", ""required"": true, ""default"": null}, {""name"": ""keepdim"", ""type"": ""bool"", ""required"": false, ""default"": false}]","[{""name"": ""output0"", ""type"": ""Tensor""}, {""name"": ""output1"", ""type"": ""Tensor""}]","[""aclnnAminmaxDim""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _aminmax.dim(Tensor self, int dim, bool keepdim=False) -> (Tensor, Tensor)""}, {""role"": ""forward_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/AminmaxKernelNpuOpApi.cpp"", ""pattern"": ""aclnnAminmaxDim""}]"
torch._amp_foreach_non_finite_check::(Tensor[] scaled_grads),torch._amp_foreach_non_finite_check,(Tensor[] scaled_grads),"[{""name"": ""scaled_grads"", ""type"": ""Tensor[]"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""bool""}]","[""aclnnForeachNonFiniteCheckAndUnscale""]",false,[],false,true,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _amp_foreach_non_finite_check(Tensor[] scaled_grads) -> bool""}, {""role"": ""forward_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/AmpForeachNonFiniteCheckAndUnscaleKernelNpuOpApi.cpp"", ""pattern"": ""aclnnForeachNonFiniteCheckAndUnscale""}]"
"torch._amp_foreach_non_finite_check_and_unscale::(Tensor(a!)[] self, Tensor(b!) found_inf, Tensor inv_scale)",torch._amp_foreach_non_finite_check_and_unscale,"(Tensor(a!)[] self, Tensor(b!) found_inf, Tensor inv_scale)","[{""name"": ""self"", ""type"": ""Tensor(a!)[]"", ""required"": true, ""default"": null}, {""name"": ""found_inf"", ""type"": ""Tensor(b!)"", ""required"": true, ""default"": null}, {""name"": ""inv_scale"", ""type"": ""Tensor"", ""required"": true, ""default"": null}]",[],"[""aclnnForeachNonFiniteCheckAndUnscale""]",false,[],false,true,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _amp_foreach_non_finite_check_and_unscale_(Tensor(a!)[] self, Tensor(b!) found_inf, Tensor inv_scale) -> ()""}, {""role"": ""forward_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/AmpForeachNonFiniteCheckAndUnscaleKernelNpuOpApi.cpp"", ""pattern"": ""aclnnForeachNonFiniteCheckAndUnscale""}]"
"torch._amp_update_scale::(Tensor(a!) self, Tensor(b!) growth_tracker, Tensor found_inf, float growth_factor, float backoff_factor, int growth_interval)",torch._amp_update_scale,"(Tensor(a!) self, Tensor(b!) growth_tracker, Tensor found_inf, float growth_factor, float backoff_factor, int growth_interval)","[{""name"": ""self"", ""type"": ""Tensor(a!)"", ""required"": true, ""default"": null}, {""name"": ""growth_tracker"", ""type"": ""Tensor(b!)"", ""required"": true, ""default"": null}, {""name"": ""found_inf"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""growth_factor"", ""type"": ""float"", ""required"": true, ""default"": null}, {""name"": ""backoff_factor"", ""type"": ""float"", ""required"": true, ""default"": null}, {""name"": ""growth_interval"", ""type"": ""int"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor(a!)""}]","[""aclnnAmpUpdateScale""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _amp_update_scale_(Tensor(a!) self, Tensor(b!) growth_tracker, Tensor found_inf, float growth_factor, float backoff_factor, int growth_interval) -> Tensor(a!)""}, {""role"": ""forward_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/AmpUpdateScaleKernelNpuOpApi.cpp"", ""pattern"": ""aclnnAmpUpdateScale""}]"
"torch._conv_depthwise2d::(Tensor self, Tensor weight, int[2] kernel_size, Tensor? bias, int[2] stride, SymInt[2] padding, int[2] dilation)",torch._conv_depthwise2d,"(Tensor self, Tensor weight, int[2] kernel_size, Tensor? bias, int[2] stride, SymInt[2] padding, int[2] dilation)","[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""weight"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""kernel_size"", ""type"": ""int[2]"", ""required"": true, ""default"": null}, {""name"": ""bias"", ""type"": ""Tensor?"", ""required"": true, ""default"": null}, {""name"": ""stride"", ""type"": ""int[2]"", ""required"": true, ""default"": null}, {""name"": ""padding"", ""type"": ""SymInt[2]"", ""required"": true, ""default"": null}, {""name"": ""dilation"", ""type"": ""int[2]"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor""}]","[""aclnnConvDepthwise2d""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _conv_depthwise2d(Tensor self, Tensor weight, int[2] kernel_size, Tensor? bias, int[2] stride, SymInt[2] padding, int[2] dilation) -> Tensor""}, {""role"": ""forward_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/ConvDepthwise2dKernelNpuOpApi.cpp"", ""pattern"": ""aclnnConvDepthwise2d""}]"
"torch._conv_depthwise2d::(Tensor self, Tensor weight, int[2] kernel_size, Tensor? bias, int[2] stride, SymInt[2] padding, int[2] dilation, *, Tensor(a!) out)",torch._conv_depthwise2d,"(Tensor self, Tensor weight, int[2] kernel_size, Tensor? bias, int[2] stride, SymInt[2] padding, int[2] dilation, *, Tensor(a!) out)","[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""weight"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""kernel_size"", ""type"": ""int[2]"", ""required"": true, ""default"": null}, {""name"": ""bias"", ""type"": ""Tensor?"", ""required"": true, ""default"": null}, {""name"": ""stride"", ""type"": ""int[2]"", ""required"": true, ""default"": null}, {""name"": ""padding"", ""type"": ""SymInt[2]"", ""required"": true, ""default"": null}, {""name"": ""dilation"", ""type"": ""int[2]"", ""required"": true, ""default"": null}, {""name"": ""out"", ""type"": ""Tensor(a!)"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor(a!)""}]","[""aclnnConvDepthwise2d""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _conv_depthwise2d.out(Tensor self, Tensor weight, int[2] kernel_size, Tensor? bias, int[2] stride, SymInt[2] padding, int[2] dilation, *, Tensor(a!) out) -> Tensor(a!)""}, {""role"": ""forward_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/ConvDepthwise2dKernelNpuOpApi.cpp"", ""pattern"": ""aclnnConvDepthwise2d""}]"
"torch._convolution::(Tensor input, Tensor weight, Tensor? bias, int[] stride, SymInt[] padding, int[] dilation, bool transposed, SymInt[] output_padding, int groups, bool benchmark, bool deterministic, bool cudnn_enabled, bool allow_tf32)",torch._convolution,"(Tensor input, Tensor weight, Tensor? bias, int[] stride, SymInt[] padding, int[] dilation, bool transposed, SymInt[] output_padding, int groups, bool benchmark, bool deterministic, bool cudnn_enabled, bool allow_tf32)","[{""name"": ""input"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""weight"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""bias"", ""type"": ""Tensor?"", ""required"": true, ""default"": null}, {""name"": ""stride"", ""type"": ""int[]"", ""required"": true, ""default"": null}, {""name"": ""padding"", ""type"": ""SymInt[]"", ""required"": true, ""default"": null}, {""name"": ""dilation"", ""type"": ""int[]"", ""required"": true, ""default"": null}, {""name"": ""transposed"", ""type"": ""bool"", ""required"": true, ""default"": null}, {""name"": ""output_padding"", ""type"": ""SymInt[]"", ""required"": true, ""default"": null}, {""name"": ""groups"", ""type"": ""int"", ""required"": true, ""default"": null}, {""name"": ""benchmark"", ""type"": ""bool"", ""required"": true, ""default"": null}, {""name"": ""deterministic"", ""type"": ""bool"", ""required"": true, ""default"": null}, {""name"": ""cudnn_enabled"", ""type"": ""bool"", ""required"": true, ""default"": null}, {""name"": ""allow_tf32"", ""type"": ""bool"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor""}]","[""aclnnConvolution""]",false,[],false,true,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _convolution(Tensor input, Tensor weight, Tensor? bias, int[] stride, SymInt[] padding, int[] dilation, bool transposed, SymInt[] output_padding, int groups, bool benchmark, bool deterministic, bool cudnn_enabled, bool allow_tf32) -> Tensor""}, {""role"": ""forward_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/ConvolutionKernelNpuOpApi.cpp"", ""pattern"": ""aclnnConvolution""}]"
"torch._ctc_loss::(Tensor log_probs, Tensor targets, int[] input_lengths, int[] target_lengths, int blank=0, bool zero_infinity=False)",torch._ctc_loss,"(Tensor log_probs, Tensor targets, int[] input_lengths, int[] target_lengths, int blank=0, bool zero_infinity=False)","[{""name"": ""log_probs"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""targets"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""input_lengths"", ""type"": ""int[]"", ""required"": true, ""default"": null}, {""name"": ""target_lengths"", ""type"": ""int[]"", ""required"": true, ""default"": null}, {""name"": ""blank"", ""type"": ""int"", ""required"": false, ""default"": 0}, {""name"": ""zero_infinity"", ""type"": ""bool"", ""required"": false, ""default"": false}]","[{""name"": ""output0"", ""type"": ""Tensor""}, {""name"": ""output1"", ""type"": ""Tensor""}]","[""aclnnCtcLoss""]",false,[],false,false,true,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _ctc_loss(Tensor log_probs, Tensor targets, int[] input_lengths, int[] target_lengths, int blank=0, bool zero_infinity=False) -> (Tensor, Tensor)""}, {""role"": ""forward_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/CtcLossKernelNpuOpApi.cpp"", ""pattern"": ""aclnnCtcLoss""}]"
"torch._ctc_loss_backward::(Tensor grad, Tensor log_probs, Tensor targets, int[] input_lengths, int[] target_lengths, Tensor neg_log_likelihood, Tensor log_alpha, int blank, bool zero_infinity=False)",torch._ctc_loss_backward,"(Tensor grad, Tensor log_probs, Tensor targets, int[] input_lengths, int[] target_lengths, Tensor neg_log_likelihood, Tensor log_alpha, int blank, bool zero_infinity=False)","[{""name"": ""grad"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""log_probs"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""targets"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""input_lengths"", ""type"": ""int[]"", ""required"": true, ""default"": null}, {""name"": ""target_lengths"", ""type"": ""int[]"", ""required"": true, ""default"": null}, {""name"": ""neg_log_likelihood"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""log_alpha"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""blank"", ""type"": ""int"", ""required"": true, ""default"": null}, {""name"": ""zero_infinity"", ""type"": ""bool"", ""required"": false, ""default"": false}]","[{""name"": ""output"", ""type"": ""Tensor""}]","[""aclnnCtcLossBackward""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _ctc_loss_backward(Tensor grad, Tensor log_probs, Tensor targets, int[] input_lengths, int[] target_lengths, Tensor neg_log_likelihood, Tensor log_alpha, int blank, bool zero_infinity=False) -> Tensor""}]"
"torch._cummax_helper::(Tensor self, Tensor(a!) values, Tensor(b!) indices, int dim)",torch._cummax_helper,"(Tensor self, Tensor(a!) values, Tensor(b!) indices, int dim)","[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""values"", ""type"": ""Tensor(a!)"", ""required"": true, ""default"": null}, {""name"": ""indices"", ""type"": ""Tensor(b!)"", ""required"": true, ""default"": null}, {""name"": ""dim"", ""type"": ""int"", ""required"": true, ""default"": null}]",[],"[""aclnnCummax""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _cummax_helper(Tensor self, Tensor(a!) values, Tensor(b!) indices, int dim) -> ()""}, {""role"": ""forward_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/CummaxKernelNpuOpApi.cpp"", ""pattern"": ""aclnnCummax""}]"
"torch._cummin_helper::(Tensor self, Tensor(a!) values, Tensor(b!) indices, int dim)",torch._cummin_helper,"(Tensor self, Tensor(a!) values, Tensor(b!) indices, int dim)","[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""values"", ""type"": ""Tensor(a!)"", ""required"": true, ""default"": null}, {""name"": ""indices"", ""type"": ""Tensor(b!)"", ""required"": true, ""default"": null}, {""name"": ""dim"", ""type"": ""int"", ""required"": true, ""default"": null}]",[],"[""aclnnCummin""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _cummin_helper(Tensor self, Tensor(a!) values, Tensor(b!) indices, int dim) -> ()""}, {""role"": ""forward_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/CumminKernelNpuOpApi.cpp"", ""pattern"": ""aclnnCummin""}]"
"torch._dropout_with_byte_mask::(Tensor self, float p)",torch._dropout_with_byte_mask,"(Tensor self, float p)","[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""p"", ""type"": ""float"", ""required"": true, ""default"": null}]","[{""name"": ""output0"", ""type"": ""Tensor""}, {""name"": ""output1"", ""type"": ""Tensor""}]",[],true,[],false,false,true,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _dropout_with_byte_mask(Tensor self, float p) -> (Tensor, Tensor)""}, {""role"": ""backward_registration"", ""path"": ""op-plugin/op_plugin/config/derivatives.yaml"", ""pattern"": ""name: _dropout_with_byte_mask(Tensor self, float p) -> (Tensor, Tensor)""}]"
"torch._embedding_bag::(Tensor weight, Tensor indices, Tensor offsets, bool scale_grad_by_freq=False, int mode=0, bool sparse=False, Tensor? per_sample_weights=None, bool include_last_offset=False, int padding_idx=-1)",torch._embedding_bag,"(Tensor weight, Tensor indices, Tensor offsets, bool scale_grad_by_freq=False, int mode=0, bool sparse=False, Tensor? per_sample_weights=None, bool include_last_offset=False, int padding_idx=-1)","[{""name"": ""weight"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""indices"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""offsets"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""scale_grad_by_freq"", ""type"": ""bool"", ""required"": false, ""default"": false}, {""name"": ""mode"", ""type"": ""int"", ""required"": false, ""default"": 0}, {""name"": ""sparse"", ""type"": ""bool"", ""required"": false, ""default"": false}, {""name"": ""per_sample_weights"", ""type"": ""Tensor?"", ""required"": false, ""default"": null}, {""name"": ""include_last_offset"", ""type"": ""bool"", ""required"": false, ""default"": false}, {""name"": ""padding_idx"", ""type"": ""int"", ""required"": false, ""default"": -1}]","[{""name"": ""output0"", ""type"": ""Tensor""}, {""name"": ""output1"", ""type"": ""Tensor""}, {""name"": ""output2"", ""type"": ""Tensor""}, {""name"": ""output3"", ""type"": ""Tensor""}]",[],false,[],false,false,true,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _embedding_bag(Tensor weight, Tensor indices, Tensor offsets, bool scale_grad_by_freq=False, int mode=0, bool sparse=False, Tensor? per_sample_weights=None, bool include_last_offset=False, int padding_idx=-1) -> (Tensor, Tensor, Tensor, Tensor)""}]"
"torch._embedding_bag_forward_only::(Tensor weight, Tensor indices, Tensor offsets, bool scale_grad_by_freq=False, int mode=0, bool sparse=False, Tensor? per_sample_weights=None, bool include_last_offset=False, int padding_idx=-1)",torch._embedding_bag_forward_only,"(Tensor weight, Tensor indices, Tensor offsets, bool scale_grad_by_freq=False, int mode=0, bool sparse=False, Tensor? per_sample_weights=None, bool include_last_offset=False, int padding_idx=-1)","[{""name"": ""weight"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""indices"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""offsets"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""scale_grad_by_freq"", ""type"": ""bool"", ""required"": false, ""default"": false}, {""name"": ""mode"", ""type"": ""int"", ""required"": false, ""default"": 0}, {""name"": ""sparse"", ""type"": ""bool"", ""required"": false, ""default"": false}, {""name"": ""per_sample_weights"", ""type"": ""Tensor?"", ""required"": false, ""default"": null}, {""name"": ""include_last_offset"", ""type"": ""bool"", ""required"": false, ""default"": false}, {""name"": ""padding_idx"", ""type"": ""int"", ""required"": false, ""default"": -1}]","[{""name"": ""output0"", ""type"": ""Tensor""}, {""name"": ""output1"", ""type"": ""Tensor""}, {""name"": ""output2"", ""type"": ""Tensor""}, {""name"": ""output3"", ""type"": ""Tensor""}]",[],false,[],false,false,true,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _embedding_bag_forward_only(Tensor weight, Tensor indices, Tensor offsets, bool scale_grad_by_freq=False, int mode=0, bool sparse=False, Tensor? per_sample_weights=None, bool include_last_offset=False, int padding_idx=-1) -> (Tensor, Tensor, Tensor, Tensor)""}]"
"torch._fake_quantize_per_tensor_affine_cachemask_tensor_qparams::(Tensor self, Tensor scale, Tensor zero_point, Tensor fake_quant_enabled, int quant_min, int quant_max)",torch._fake_quantize_per_tensor_affine_cachemask_tensor_qparams,"(Tensor self, Tensor scale, Tensor zero_point, Tensor fake_quant_enabled, int quant_min, int quant_max)","[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""scale"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""zero_point"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""fake_quant_enabled"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""quant_min"", ""type"": ""int"", ""required"": true, ""default"": null}, {""name"": ""quant_max"", ""type"": ""int"", ""required"": true, ""default"": null}]","[{""name"": ""output0"", ""type"": ""Tensor output""}, {""name"": ""output1"", ""type"": ""Tensor mask""}]",[],false,[],false,false,true,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _fake_quantize_per_tensor_affine_cachemask_tensor_qparams(Tensor self, Tensor scale, Tensor zero_point, Tensor fake_quant_enabled, int quant_min, int quant_max) -> (Tensor output, Tensor mask)""}]"
"torch._fft_c2c::(Tensor self, SymInt[] dim, int normalization, bool forward)",torch._fft_c2c,"(Tensor self, SymInt[] dim, int normalization, bool forward)","[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""dim"", ""type"": ""SymInt[]"", ""required"": true, ""default"": null}, {""name"": ""normalization"", ""type"": ""int"", ""required"": true, ""default"": null}, {""name"": ""forward"", ""type"": ""bool"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor""}]","[""aclnnMatmul""]",false,[],false,true,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _fft_c2c(Tensor self, SymInt[] dim, int normalization, bool forward) -> Tensor""}, {""role"": ""forward_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/FFTc2cKernelNpuOpApi.cpp"", ""pattern"": ""aclnnMatmul""}]"
