graph_edge_id,parent_unit_id,child_ref_type,child_ref,call_order,condition,via_symbol,via_path
tensor_dot::unit::transpose_op::4,composite::ops/function/math_func.py::tensor_dot,unit,branch::transpose_op.yaml::Transpose,4,,transpose_op,mindspore/python/mindspore/ops/function/math_func.py
trapz::unit::_check_dim_in_range::0,composite::ops/function/math_func.py::trapz,unit,composite::ops/function/math_func.py::_check_dim_in_range,0,,_check_dim_in_range,mindspore/python/mindspore/ops/function/math_func.py
vander::unit::range::0,composite::ops/function/math_func.py::vander,unit,branch::range_op.yaml::Range,0,,range,mindspore/python/mindspore/ops/function/math_func.py
vander::unit::expand_dims::1,composite::ops/function/math_func.py::vander,unit,branch::expand_dims_op.yaml::ExpandDims,1,,expand_dims,mindspore/python/mindspore/ops/function/math_func.py
bidense::unit::_check_is_tensor::0,composite::ops/function/nn_func.py::bidense,unit,composite::ops/function/nn_func.py::_check_is_tensor,0,,_check_is_tensor,mindspore/python/mindspore/ops/function/nn_func.py
bidense::unit::check_dense_inputs_same_shape::1,composite::ops/function/nn_func.py::bidense,unit,composite::ops/function/nn_func.py::check_dense_inputs_same_shape,1,,check_dense_inputs_same_shape,mindspore/python/mindspore/ops/function/nn_func.py
cosine_embedding_loss::unit::_check_is_tensor::0,composite::ops/function/nn_func.py::cosine_embedding_loss,unit,composite::ops/function/nn_func.py::_check_is_tensor,0,,_check_is_tensor,mindspore/python/mindspore/ops/function/nn_func.py
cosine_embedding_loss::unit::check_input_dtype::1,composite::ops/function/nn_func.py::cosine_embedding_loss,unit,composite::ops/function/nn_func.py::check_input_dtype,1,,check_input_dtype,mindspore/python/mindspore/ops/function/nn_func.py
cosine_embedding_loss::unit::_check_reduced_shape_valid::2,composite::ops/function/nn_func.py::cosine_embedding_loss,unit,composite::ops/function/nn_func.py::_check_reduced_shape_valid,2,,_check_reduced_shape_valid,mindspore/python/mindspore/ops/function/nn_func.py
cosine_embedding_loss::unit::_check_value_type::3,composite::ops/function/nn_func.py::cosine_embedding_loss,unit,composite::ops/function/nn_func.py::_check_value_type,3,,_check_value_type,mindspore/python/mindspore/ops/function/nn_func.py
cosine_embedding_loss::unit::zeros_like::4,composite::ops/function/nn_func.py::cosine_embedding_loss,unit,branch::zeros_like_op.yaml::ZerosLike,4,,zeros_like,mindspore/python/mindspore/ops/function/nn_func.py
cosine_embedding_loss::unit::select::5,composite::ops/function/nn_func.py::cosine_embedding_loss,unit,branch::select_ext_view_op.yaml::SelectExtView,5,,select,mindspore/python/mindspore/ops/function/nn_func.py
ctc_loss::unit::_check_ctc_loss_inputs::0,composite::ops/function/nn_func.py::ctc_loss,unit,composite::ops/function/nn_func.py::_check_ctc_loss_inputs,0,,_check_ctc_loss_inputs,mindspore/python/mindspore/ops/function/nn_func.py
flip::unit::reverse_v2_impl::0,composite::ops/function/nn_func.py::flip,unit,branch::reverse_v2_op.yaml::ReverseV2,0,,reverse_v2_impl,mindspore/python/mindspore/ops/function/nn_func.py
fractional_max_pool2d::unit::_check_fractional_output_size_ratio::0,composite::ops/function/nn_func.py::fractional_max_pool2d,unit,composite::ops/function/nn_func.py::_check_fractional_output_size_ratio,0,,_check_fractional_output_size_ratio,mindspore/python/mindspore/ops/function/nn_func.py
fractional_max_pool2d::unit::_check_value_type::1,composite::ops/function/nn_func.py::fractional_max_pool2d,unit,composite::ops/function/nn_func.py::_check_value_type,1,,_check_value_type,mindspore/python/mindspore/ops/function/nn_func.py
fractional_max_pool2d::unit::_check_value_type::2,composite::ops/function/nn_func.py::fractional_max_pool2d,unit,composite::ops/function/nn_func.py::_check_value_type,2,"output_size is None and isinstance(output_ratio, (float, int))",_check_value_type,mindspore/python/mindspore/ops/function/nn_func.py
fractional_max_pool2d::unit::_check_float_range_inc_neither::3,composite::ops/function/nn_func.py::fractional_max_pool2d,unit,composite::ops/function/nn_func.py::_check_float_range_inc_neither,3,output_size is None,_check_float_range_inc_neither,mindspore/python/mindspore/ops/function/nn_func.py
fractional_max_pool3d::unit::_check_fractional_output_size_ratio::0,composite::ops/function/nn_func.py::fractional_max_pool3d,unit,composite::ops/function/nn_func.py::_check_fractional_output_size_ratio,0,,_check_fractional_output_size_ratio,mindspore/python/mindspore/ops/function/nn_func.py
fractional_max_pool3d::unit::_check_value_type::1,composite::ops/function/nn_func.py::fractional_max_pool3d,unit,composite::ops/function/nn_func.py::_check_value_type,1,,_check_value_type,mindspore/python/mindspore/ops/function/nn_func.py
fractional_max_pool3d::unit::_check_value_type::2,composite::ops/function/nn_func.py::fractional_max_pool3d,unit,composite::ops/function/nn_func.py::_check_value_type,2,"output_size is None and isinstance(output_ratio, (float, int))",_check_value_type,mindspore/python/mindspore/ops/function/nn_func.py
fractional_max_pool3d::unit::_check_float_range_inc_neither::3,composite::ops/function/nn_func.py::fractional_max_pool3d,unit,composite::ops/function/nn_func.py::_check_float_range_inc_neither,3,output_size is None,_check_float_range_inc_neither,mindspore/python/mindspore/ops/function/nn_func.py
hinge_embedding_loss::unit::_check_hinge_embedding_loss_type::0,composite::ops/function/nn_func.py::hinge_embedding_loss,unit,composite::ops/function/nn_func.py::_check_hinge_embedding_loss_type,0,,_check_hinge_embedding_loss_type,mindspore/python/mindspore/ops/function/nn_func.py
hinge_embedding_loss::unit::cast::1,composite::ops/function/nn_func.py::hinge_embedding_loss,unit,branch::cast_op.yaml::Cast,1,,cast,mindspore/python/mindspore/ops/function/nn_func.py
huber_loss::unit::_check_is_tensor::0,composite::ops/function/nn_func.py::huber_loss,unit,composite::ops/function/nn_func.py::_check_is_tensor,0,,_check_is_tensor,mindspore/python/mindspore/ops/function/nn_func.py
huber_loss::unit::_check_value_type::1,composite::ops/function/nn_func.py::huber_loss,unit,composite::ops/function/nn_func.py::_check_value_type,1,,_check_value_type,mindspore/python/mindspore/ops/function/nn_func.py
huber_loss::unit::_check_number_gt_value::2,composite::ops/function/nn_func.py::huber_loss,unit,composite::ops/function/nn_func.py::_check_number_gt_value,2,,_check_number_gt_value,mindspore/python/mindspore/ops/function/nn_func.py
interpolate::unit::_is_dim_unknown::0,composite::ops/function/nn_func.py::interpolate,unit,composite::ops/function/nn_func.py::_is_dim_unknown,0,,_is_dim_unknown,mindspore/python/mindspore/ops/function/nn_func.py
interpolate::unit::_interpolate_size_check_with_rank::1,composite::ops/function/nn_func.py::interpolate,unit,composite::ops/function/nn_func.py::_interpolate_size_check_with_rank,1,"size is not None and isinstance(size, (list, tuple)) and dim_unknown is False",_interpolate_size_check_with_rank,mindspore/python/mindspore/ops/function/nn_func.py
interpolate::unit::_interploate_make_tuple::2,composite::ops/function/nn_func.py::interpolate,unit,composite::ops/function/nn_func.py::_interploate_make_tuple,2,"size is not None and not (isinstance(size, (list, tuple))) and dim_unknown is not False",_interploate_make_tuple,mindspore/python/mindspore/ops/function/nn_func.py
interpolate::unit::_interpolate_scale_factor_check_with_rank::3,composite::ops/function/nn_func.py::interpolate,unit,composite::ops/function/nn_func.py::_interpolate_scale_factor_check_with_rank,3,"size is None and scale_factor is not None and isinstance(scale_factor, (list, tuple)) and dim_unknown is False",_interpolate_scale_factor_check_with_rank,mindspore/python/mindspore/ops/function/nn_func.py
interpolate::unit::_interploate_make_tuple::4,composite::ops/function/nn_func.py::interpolate,unit,composite::ops/function/nn_func.py::_interploate_make_tuple,4,"size is None and scale_factor is not None and not (isinstance(scale_factor, (list, tuple))) and dim_unknown is not False",_interploate_make_tuple,mindspore/python/mindspore/ops/function/nn_func.py
interpolate::unit::_interpolate_mode_check::5,composite::ops/function/nn_func.py::interpolate,unit,composite::ops/function/nn_func.py::_interpolate_mode_check,5,,_interpolate_mode_check,mindspore/python/mindspore/ops/function/nn_func.py
interpolate::unit::_interpolate_rank_check::6,composite::ops/function/nn_func.py::interpolate,unit,composite::ops/function/nn_func.py::_interpolate_rank_check,6,dim_unknown is False,_interpolate_rank_check,mindspore/python/mindspore/ops/function/nn_func.py
interpolate::unit::min::7,composite::ops/function/nn_func.py::interpolate,unit,composite::ops/function/array_func.py::min,7,recompute_scale_factor is not None and recompute_scale_factor and F.isconstant(shape) and F.isconstant(scale_factor),min,mindspore/python/mindspore/ops/function/nn_func.py
interpolate::unit::_interpolate_scale_factor_convert_size::8,composite::ops/function/nn_func.py::interpolate,unit,composite::ops/function/nn_func.py::_interpolate_scale_factor_convert_size,8,recompute_scale_factor is not None and recompute_scale_factor and not (F.isconstant(shape) and F.isconstant(scale_factor)),_interpolate_scale_factor_convert_size,mindspore/python/mindspore/ops/function/nn_func.py
interpolate::unit::_interpolate_scale_factor_check::9,composite::ops/function/nn_func.py::interpolate,unit,composite::ops/function/nn_func.py::_interpolate_scale_factor_check,9,not (recompute_scale_factor is not None and recompute_scale_factor) and dim_unknown is False,_interpolate_scale_factor_check,mindspore/python/mindspore/ops/function/nn_func.py
interpolate::unit::_interpolate_align_corners_mode_check::10,composite::ops/function/nn_func.py::interpolate,unit,composite::ops/function/nn_func.py::_interpolate_align_corners_mode_check,10,align_corners is not None and dim_unknown is False,_interpolate_align_corners_mode_check,mindspore/python/mindspore/ops/function/nn_func.py
l1_loss::unit::_check_is_tensor::0,composite::ops/function/nn_func.py::l1_loss,unit,composite::ops/function/nn_func.py::_check_is_tensor,0,,_check_is_tensor,mindspore/python/mindspore/ops/function/nn_func.py
lp_pool1d::unit::avg_pool1d::0,composite::ops/function/nn_func.py::lp_pool1d,unit,branch::avg_pool1d_op.yaml::AvgPool1D,0,,avg_pool1d,mindspore/python/mindspore/ops/function/nn_func.py
lp_pool1d::unit::squeeze::1,composite::ops/function/nn_func.py::lp_pool1d,unit,composite::ops/function/array_func.py::squeeze,1,_is_squeeze,squeeze,mindspore/python/mindspore/ops/function/nn_func.py
lp_pool2d::unit::avg_pool2d::0,composite::ops/function/nn_func.py::lp_pool2d,unit,branch::avg_pool2d_op.yaml::AvgPool2D,0,,avg_pool2d,mindspore/python/mindspore/ops/function/nn_func.py
margin_ranking_loss::unit::_check_value_type::0,composite::ops/function/nn_func.py::margin_ranking_loss,unit,composite::ops/function/nn_func.py::_check_value_type,0,,_check_value_type,mindspore/python/mindspore/ops/function/nn_func.py
margin_ranking_loss::unit::_check_is_tensor::1,composite::ops/function/nn_func.py::margin_ranking_loss,unit,composite::ops/function/nn_func.py::_check_is_tensor,1,,_check_is_tensor,mindspore/python/mindspore/ops/function/nn_func.py
margin_ranking_loss::unit::check_input_dtype::2,composite::ops/function/nn_func.py::margin_ranking_loss,unit,composite::ops/function/nn_func.py::check_input_dtype,2,,check_input_dtype,mindspore/python/mindspore/ops/function/nn_func.py
margin_ranking_loss::public_api::clamp::3,composite::ops/function/nn_func.py::margin_ranking_loss,public_api,mindspore.ops.clamp,3,,clamp,mindspore/python/mindspore/ops/function/nn_func.py
max_unpool1d::primitive_symbol::max_unpool_2d::0,composite::ops/function/nn_func.py::max_unpool1d,primitive_symbol,MaxUnpool2D,0,x_dim == 2,max_unpool_2d,mindspore/python/mindspore/ops/function/nn_func.py
max_unpool1d::primitive_symbol::max_unpool_2d::1,composite::ops/function/nn_func.py::max_unpool1d,primitive_symbol,MaxUnpool2D,1,not (x_dim == 2),max_unpool_2d,mindspore/python/mindspore/ops/function/nn_func.py
multilabel_soft_margin_loss::unit::_check_is_tensor::0,composite::ops/function/nn_func.py::multilabel_soft_margin_loss,unit,composite::ops/function/nn_func.py::_check_is_tensor,0,,_check_is_tensor,mindspore/python/mindspore/ops/function/nn_func.py
pad::unit::_check_pad_inputs::0,composite::ops/function/nn_func.py::pad,unit,composite::ops/function/nn_func.py::_check_pad_inputs,0,"not (isinstance(padding, (tuple, list)) and (not padding) or (isinstance(padding, Tensor) and padding.shape == (0,))) and not isinstance(padding, Tensor)",_check_pad_inputs,mindspore/python/mindspore/ops/function/nn_func.py
pixel_unshuffle::unit::_check_positive_int::0,composite::ops/function/nn_func.py::pixel_unshuffle,unit,composite::ops/function/nn_func.py::_check_positive_int,0,,_check_positive_int,mindspore/python/mindspore/ops/function/nn_func.py
pixel_unshuffle::unit::_check_is_tensor::1,composite::ops/function/nn_func.py::pixel_unshuffle,unit,composite::ops/function/nn_func.py::_check_is_tensor,1,,_check_is_tensor,mindspore/python/mindspore/ops/function/nn_func.py
pixel_unshuffle::unit::_check_pixel_shuffle_unshuffle_input_shape::2,composite::ops/function/nn_func.py::pixel_unshuffle,unit,composite::ops/function/nn_func.py::_check_pixel_shuffle_unshuffle_input_shape,2,,_check_pixel_shuffle_unshuffle_input_shape,mindspore/python/mindspore/ops/function/nn_func.py
pixel_unshuffle::unit::_check_pxiel_unshuffle_valid::3,composite::ops/function/nn_func.py::pixel_unshuffle,unit,composite::ops/function/nn_func.py::_check_pxiel_unshuffle_valid,3,,_check_pxiel_unshuffle_valid,mindspore/python/mindspore/ops/function/nn_func.py
softmax::unit::cast::0,composite::ops/function/nn_func.py::softmax,unit,branch::cast_op.yaml::Cast,0,dtype is not None,cast,mindspore/python/mindspore/ops/function/nn_func.py
choice_with_mask::unit::_get_seed::0,composite::ops/function/random_func.py::choice_with_mask,unit,composite::ops/function/random_func.py::_get_seed,0,,_get_seed,mindspore/python/mindspore/ops/function/random_func.py
choice_with_mask::unit::_set_prim_op_user_data::1,composite::ops/function/random_func.py::choice_with_mask,unit,composite::ops/function/random_func.py::_set_prim_op_user_data,1,,_set_prim_op_user_data,mindspore/python/mindspore/ops/function/random_func.py
gamma::unit::_get_seed::0,composite::ops/function/random_func.py::gamma,unit,composite::ops/function/random_func.py::_get_seed,0,,_get_seed,mindspore/python/mindspore/ops/function/random_func.py
gamma::unit::_set_prim_op_user_data::1,composite::ops/function/random_func.py::gamma,unit,composite::ops/function/random_func.py::_set_prim_op_user_data,1,,_set_prim_op_user_data,mindspore/python/mindspore/ops/function/random_func.py
laplace::unit::_get_seed::0,composite::ops/function/random_func.py::laplace,unit,composite::ops/function/random_func.py::_get_seed,0,,_get_seed,mindspore/python/mindspore/ops/function/random_func.py
laplace::unit::_set_prim_op_user_data::1,composite::ops/function/random_func.py::laplace,unit,composite::ops/function/random_func.py::_set_prim_op_user_data,1,,_set_prim_op_user_data,mindspore/python/mindspore/ops/function/random_func.py
laplace::unit::_check_shape::2,composite::ops/function/random_func.py::laplace,unit,composite::ops/function/random_func.py::_check_shape,2,,_check_shape,mindspore/python/mindspore/ops/function/random_func.py
log_uniform_candidate_sampler::unit::_set_prim_op_user_data::0,composite::ops/function/random_func.py::log_uniform_candidate_sampler,unit,composite::ops/function/random_func.py::_set_prim_op_user_data,0,,_set_prim_op_user_data,mindspore/python/mindspore/ops/function/random_func.py
multinomial::unit::_get_seed::0,composite::ops/function/random_func.py::multinomial,unit,composite::ops/function/random_func.py::_get_seed,0,,_get_seed,mindspore/python/mindspore/ops/function/random_func.py
multinomial::unit::_set_prim_op_user_data::1,composite::ops/function/random_func.py::multinomial,unit,composite::ops/function/random_func.py::_set_prim_op_user_data,1,not replacement,_set_prim_op_user_data,mindspore/python/mindspore/ops/function/random_func.py
multinomial::unit::_set_prim_op_user_data::2,composite::ops/function/random_func.py::multinomial,unit,composite::ops/function/random_func.py::_set_prim_op_user_data,2,not (not replacement),_set_prim_op_user_data,mindspore/python/mindspore/ops/function/random_func.py
multinomial_with_replacement::unit::_set_prim_op_user_data::0,composite::ops/function/random_func.py::multinomial_with_replacement,unit,composite::ops/function/random_func.py::_set_prim_op_user_data,0,,_set_prim_op_user_data,mindspore/python/mindspore/ops/function/random_func.py
normal::unit::_check_param::0,composite::ops/function/random_func.py::normal,unit,composite::ops/function/random_func.py::_check_param,0,,_check_param,mindspore/python/mindspore/ops/function/random_func.py
normal::unit::_get_seed::1,composite::ops/function/random_func.py::normal,unit,composite::ops/function/random_func.py::_get_seed,1,,_get_seed,mindspore/python/mindspore/ops/function/random_func.py
normal::unit::_set_prim_op_user_data::2,composite::ops/function/random_func.py::normal,unit,composite::ops/function/random_func.py::_set_prim_op_user_data,2,,_set_prim_op_user_data,mindspore/python/mindspore/ops/function/random_func.py
normal::unit::_check_shape::3,composite::ops/function/random_func.py::normal,unit,composite::ops/function/random_func.py::_check_shape,3,,_check_shape,mindspore/python/mindspore/ops/function/random_func.py
poisson::unit::_get_seed::0,composite::ops/function/random_func.py::poisson,unit,composite::ops/function/random_func.py::_get_seed,0,,_get_seed,mindspore/python/mindspore/ops/function/random_func.py
poisson::unit::_set_prim_op_user_data::1,composite::ops/function/random_func.py::poisson,unit,composite::ops/function/random_func.py::_set_prim_op_user_data,1,,_set_prim_op_user_data,mindspore/python/mindspore/ops/function/random_func.py
random_categorical::unit::_set_prim_op_user_data::0,composite::ops/function/random_func.py::random_categorical,unit,composite::ops/function/random_func.py::_set_prim_op_user_data,0,,_set_prim_op_user_data,mindspore/python/mindspore/ops/function/random_func.py
random_gamma::unit::_get_seed::0,composite::ops/function/random_func.py::random_gamma,unit,composite::ops/function/random_func.py::_get_seed,0,,_get_seed,mindspore/python/mindspore/ops/function/random_func.py
random_gamma::unit::_set_prim_op_user_data::1,composite::ops/function/random_func.py::random_gamma,unit,composite::ops/function/random_func.py::_set_prim_op_user_data,1,,_set_prim_op_user_data,mindspore/python/mindspore/ops/function/random_func.py
random_poisson::unit::_get_seed::0,composite::ops/function/random_func.py::random_poisson,unit,composite::ops/function/random_func.py::_get_seed,0,,_get_seed,mindspore/python/mindspore/ops/function/random_func.py
random_poisson::unit::_set_prim_op_user_data::1,composite::ops/function/random_func.py::random_poisson,unit,composite::ops/function/random_func.py::_set_prim_op_user_data,1,,_set_prim_op_user_data,mindspore/python/mindspore/ops/function/random_func.py
shuffle::unit::_get_seed::0,composite::ops/function/random_func.py::shuffle,unit,composite::ops/function/random_func.py::_get_seed,0,,_get_seed,mindspore/python/mindspore/ops/function/random_func.py
shuffle::unit::_set_prim_op_user_data::1,composite::ops/function/random_func.py::shuffle,unit,composite::ops/function/random_func.py::_set_prim_op_user_data,1,,_set_prim_op_user_data,mindspore/python/mindspore/ops/function/random_func.py
standard_laplace::unit::_get_seed::0,composite::ops/function/random_func.py::standard_laplace,unit,composite::ops/function/random_func.py::_get_seed,0,,_get_seed,mindspore/python/mindspore/ops/function/random_func.py
standard_laplace::unit::_set_prim_op_user_data::1,composite::ops/function/random_func.py::standard_laplace,unit,composite::ops/function/random_func.py::_set_prim_op_user_data,1,,_set_prim_op_user_data,mindspore/python/mindspore/ops/function/random_func.py
standard_normal::unit::_get_seed::0,composite::ops/function/random_func.py::standard_normal,unit,composite::ops/function/random_func.py::_get_seed,0,,_get_seed,mindspore/python/mindspore/ops/function/random_func.py
standard_normal::unit::_set_prim_op_user_data::1,composite::ops/function/random_func.py::standard_normal,unit,composite::ops/function/random_func.py::_set_prim_op_user_data,1,,_set_prim_op_user_data,mindspore/python/mindspore/ops/function/random_func.py
uniform::unit::_get_seed::0,composite::ops/function/random_func.py::uniform,unit,composite::ops/function/random_func.py::_get_seed,0,,_get_seed,mindspore/python/mindspore/ops/function/random_func.py
uniform::unit::_set_prim_op_user_data::1,composite::ops/function/random_func.py::uniform,unit,composite::ops/function/random_func.py::_set_prim_op_user_data,1,"const_utils.is_same_type(dtype, mstype.int32)",_set_prim_op_user_data,mindspore/python/mindspore/ops/function/random_func.py
uniform::unit::_set_prim_op_user_data::2,composite::ops/function/random_func.py::uniform,unit,composite::ops/function/random_func.py::_set_prim_op_user_data,2,"not (const_utils.is_same_type(dtype, mstype.int32))",_set_prim_op_user_data,mindspore/python/mindspore/ops/function/random_func.py
uniform_candidate_sampler::unit::_set_prim_op_user_data::0,composite::ops/function/random_func.py::uniform_candidate_sampler,unit,composite::ops/function/random_func.py::_set_prim_op_user_data,0,,_set_prim_op_user_data,mindspore/python/mindspore/ops/function/random_func.py
coo_add::unit::promote_coo::0,composite::ops/function/sparse_func.py::coo_add,unit,composite::ops/function/sparse_func.py::promote_coo,0,,promote_coo,mindspore/python/mindspore/ops/function/sparse_func.py
coo_concat::unit::_set_coo_concat_input::0,composite::ops/function/sparse_func.py::coo_concat,unit,composite::ops/function/sparse_func.py::_set_coo_concat_input,0,,_set_coo_concat_input,mindspore/python/mindspore/ops/function/sparse_func.py
coo_concat::unit::_calc_out_shape::1,composite::ops/function/sparse_func.py::coo_concat,unit,composite::ops/function/sparse_func.py::_calc_out_shape,1,,_calc_out_shape,mindspore/python/mindspore/ops/function/sparse_func.py
csr_add::unit::promote_csr::0,composite::ops/function/sparse_func.py::csr_add,unit,composite::ops/function/sparse_func.py::promote_csr,0,,promote_csr,mindspore/python/mindspore/ops/function/sparse_func.py
csr_div::unit::_make_tensor::0,composite::ops/function/sparse_func.py::csr_div,unit,composite::ops/function/sparse_func.py::_make_tensor,0,"isinstance(y, (int, float, bool))",_make_tensor,mindspore/python/mindspore/ops/function/sparse_func.py
csr_div::unit::promote_tensor::1,composite::ops/function/sparse_func.py::csr_div,unit,composite::ops/function/sparse_func.py::promote_tensor,1,not (is_scalar(y)),promote_tensor,mindspore/python/mindspore/ops/function/sparse_func.py
csr_mul::unit::_make_tensor::0,composite::ops/function/sparse_func.py::csr_mul,unit,composite::ops/function/sparse_func.py::_make_tensor,0,"isinstance(y, (int, float, bool))",_make_tensor,mindspore/python/mindspore/ops/function/sparse_func.py
csr_mul::unit::promote_tensor::1,composite::ops/function/sparse_func.py::csr_mul,unit,composite::ops/function/sparse_func.py::promote_tensor,1,not (is_scalar(y)),promote_tensor,mindspore/python/mindspore/ops/function/sparse_func.py
csr_mv::unit::promote_tensor::0,composite::ops/function/sparse_func.py::csr_mv,unit,composite::ops/function/sparse_func.py::promote_tensor,0,,promote_tensor,mindspore/python/mindspore/ops/function/sparse_func.py
csr_to_dense::unit::_convert_shape::0,composite::ops/function/sparse_func.py::csr_to_dense,unit,composite::ops/function/sparse_func.py::_convert_shape,0,,_convert_shape,mindspore/python/mindspore/ops/function/sparse_func.py
make_row_tensor::unit::print_info::0,composite::ops/function/sparse_func.py::make_row_tensor,unit,composite::ops/function/sparse_func.py::print_info,0,,print_info,mindspore/python/mindspore/ops/function/sparse_func.py
make_sparse_tensor::unit::print_info::0,composite::ops/function/sparse_func.py::make_sparse_tensor,unit,composite::ops/function/sparse_func.py::print_info,0,,print_info,mindspore/python/mindspore/ops/function/sparse_func.py
