coverage_key,op,primitive,op_branch,op_yaml_path,class_name,dispatch_enable,dispatch_kind,dispatch_ascend,aclnn,aclnn_source,infer,pyboost,kbk,bprop,ut,st,docs_cn,docs_en,infer_evidence,pyboost_evidence,kbk_evidence,bprop_evidence,ut_evidence,st_evidence,docs_cn_evidence,docs_en_evidence
a_cos_grad::ACosGrad,a_cos_grad,ACosGrad,a_cos_grad_op.yaml,mindspore/ops/op_def/yaml/a_cos_grad_op.yaml,ACosGrad,False,unsupported,,[],,true,false,false,true,false,true,false,true,"[""mindspore/ops/infer/ops_func_impl/a_cos_grad.h""]",[],[],"[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]",[],"[""tests/st/ops/cpu/test_acos_grad_op.py"", ""tests/st/ops/gpu/test_acos_grad_op.py""]",[],"[""mindspore/ops/op_def/yaml/doc/a_cos_grad_doc.yaml""]"
abs::Abs,abs,Abs,abs_op.yaml,mindspore/ops/op_def/yaml/abs_op.yaml,Abs,True,auto_generate,default,"[""aclnnAbs""]",auto_generate_source,true,true,true,true,true,true,false,true,"[""mindspore/ops/infer/ops_frontend_func_impl/abs.cc"", ""mindspore/ops/infer/ops_func_impl/abs.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/auto_generate/abs.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/auto_generate/aclnn_kernel_register_auto.cc""]","[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]","[""tests/ut/cpp/ops/test_ops_abs.cc""]","[""tests/st/ops/cpu/test_abs_op.py"", ""tests/st/ops/test_ops_abs.py""]",[],"[""mindspore/ops/op_def/yaml/doc/abs_doc.yaml""]"
abs_grad::AbsGrad,abs_grad,AbsGrad,abs_grad_op.yaml,mindspore/ops/op_def/yaml/abs_grad_op.yaml,AbsGrad,False,unsupported,,[],,true,false,false,false,true,false,false,true,"[""mindspore/ops/infer/ops_func_impl/abs_grad.h""]",[],[],[],"[""tests/ut/cpp/ops/test_ops_abs_grad.cc""]",[],[],"[""mindspore/ops/op_def/yaml/doc/abs_grad_doc.yaml""]"
acos::ACos,acos,ACos,acos_op.yaml,mindspore/ops/op_def/yaml/acos_op.yaml,ACos,False,unsupported,,[],,true,false,false,true,false,true,false,true,"[""mindspore/ops/infer/ops_func_impl/acos.h""]",[],[],"[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]",[],"[""tests/st/ops/cpu/test_acos_op.py"", ""tests/st/ops/gpu/test_acos_op.py""]",[],"[""mindspore/ops/op_def/yaml/doc/acos_doc.yaml""]"
acos_ext::AcosExt,acos_ext,AcosExt,acos_ext_op.yaml,mindspore/ops/op_def/yaml/acos_ext_op.yaml,AcosExt,True,auto_generate,default,"[""aclnnAcos""]","aclnn_config,auto_generate_source",true,true,true,true,true,false,false,true,"[""mindspore/ops/infer/ops_func_impl/acos_ext.cc"", ""mindspore/ops/infer/ops_func_impl/acos_ext.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/auto_generate/acos_ext.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/auto_generate/aclnn_kernel_register_auto.cc""]","[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]","[""tests/ut/cpp/ops/test_ops_acos_ext.cc""]",[],[],"[""mindspore/ops/op_def/yaml/doc/acos_ext_doc.yaml""]"
acosh::Acosh,acosh,Acosh,acosh_op.yaml,mindspore/ops/op_def/yaml/acosh_op.yaml,Acosh,False,unsupported,,[],,true,false,false,true,false,true,false,true,"[""mindspore/ops/infer/ops_func_impl/acosh.h""]",[],[],"[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]",[],"[""tests/st/ops/cpu/test_acosh_op.py"", ""tests/st/ops/gpu/test_acosh_op.py""]",[],"[""mindspore/ops/op_def/yaml/doc/acosh_doc.yaml""]"
acosh_ext::AcoshExt,acosh_ext,AcoshExt,acosh_ext_op.yaml,mindspore/ops/op_def/yaml/acosh_ext_op.yaml,AcoshExt,True,auto_generate,default,"[""aclnnAcosh""]","aclnn_config,auto_generate_source",true,true,true,true,true,false,false,true,"[""mindspore/ops/infer/ops_func_impl/acosh_ext.cc"", ""mindspore/ops/infer/ops_func_impl/acosh_ext.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/auto_generate/acosh_ext.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/auto_generate/aclnn_kernel_register_auto.cc""]","[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]","[""tests/ut/cpp/ops/test_ops_acosh_ext.cc""]",[],[],"[""mindspore/ops/op_def/yaml/doc/acosh_ext_doc.yaml""]"
acosh_grad::AcoshGrad,acosh_grad,AcoshGrad,acosh_grad_op.yaml,mindspore/ops/op_def/yaml/acosh_grad_op.yaml,AcoshGrad,False,unsupported,,[],,true,false,false,true,false,true,false,true,"[""mindspore/ops/infer/ops_func_impl/acosh_grad.h""]",[],[],"[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]",[],"[""tests/st/ops/cpu/test_acosh_grad_op.py"", ""tests/st/ops/gpu/test_acosh_grad_op.py""]",[],"[""mindspore/ops/op_def/yaml/doc/acosh_grad_doc.yaml""]"
adam_weight_decay::AdamWeightDecay,adam_weight_decay,AdamWeightDecay,adam_weight_decay_op.yaml,mindspore/ops/op_def/yaml/adam_weight_decay_op.yaml,AdamWeightDecay,False,unsupported,,[],,true,false,false,false,false,true,false,true,"[""mindspore/ops/infer/ops_func_impl/adam_weight_decay.cc"", ""mindspore/ops/infer/ops_func_impl/adam_weight_decay.h"", ""mindspore/ops/infer/symbol_ops_impl/adam_weight_decay.cc""]",[],[],[],[],"[""tests/st/ops/ascend/test_adam_weight_decay.py"", ""tests/st/ops/cpu/test_adam_weight_decay_op.py""]",[],"[""mindspore/ops/op_def/yaml/doc/adam_weight_decay_doc.yaml""]"
adamw::AdamW,adamw,AdamW,adamw_op.yaml,mindspore/ops/op_def/yaml/adamw_op.yaml,AdamW,True,customize,AdamWAscend,"[""aclnnApplyAdamWV2""]",customize_source,true,true,true,false,false,false,false,true,"[""mindspore/ops/infer/ops_func_impl/adamw.cc"", ""mindspore/ops/infer/ops_func_impl/adamw.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/adamw.cc"", ""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/adamw.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/adamw_aclnn_kernel.cc"", ""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/adamw_aclnn_kernel.h""]",[],[],[],[],"[""mindspore/ops/op_def/yaml/doc/adamw_doc.yaml""]"
adaptive_avg_pool1d::AdaptiveAvgPool1D,adaptive_avg_pool1d,AdaptiveAvgPool1D,adaptive_avg_pool1d_op.yaml,mindspore/ops/op_def/yaml/adaptive_avg_pool1d_op.yaml,AdaptiveAvgPool1D,True,customize,AdaptiveAvgPool1DAscend,"[""aclnnAdaptiveAvgPool2d""]",customize_source,true,true,true,true,true,true,false,true,"[""mindspore/ops/infer/ops_func_impl/adaptive_avg_pool1d.cc"", ""mindspore/ops/infer/ops_func_impl/adaptive_avg_pool1d.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/adaptive_avg_pool1d.cc"", ""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/adaptive_avg_pool1d.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/adaptive_avg_pool1d_aclnn_kernel.cc"", ""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/adaptive_avg_pool1d_aclnn_kernel.h""]","[""mindspore/ccsrc/frontend/expander/grad/grad_nn_ops.cc""]","[""tests/ut/cpp/ops/test_ops_adaptive_avg_pool1d.cc""]","[""tests/st/ops/gpu/test_adaptive_avg_pool1d_op.py"", ""tests/st/ops/test_ops_adaptive_avg_pool1d.py""]",[],"[""mindspore/ops/op_def/yaml/doc/adaptive_avg_pool1d_doc.yaml""]"
adaptive_avg_pool2d_ext::AdaptiveAvgPool2DExt,adaptive_avg_pool2d_ext,AdaptiveAvgPool2DExt,adaptive_avg_pool2d_ext_op.yaml,mindspore/ops/op_def/yaml/adaptive_avg_pool2d_ext_op.yaml,AdaptiveAvgPool2DExt,True,auto_generate,default,"[""aclnnAdaptiveAvgPool2d""]","aclnn_config,auto_generate_source",true,true,true,true,true,true,false,false,"[""mindspore/ops/infer/ops_func_impl/adaptive_avg_pool2d_ext.cc"", ""mindspore/ops/infer/ops_func_impl/adaptive_avg_pool2d_ext.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/auto_generate/adaptive_avg_pool2d_ext.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/aclnn_auto_gen/adaptive_avg_pool2d_ext_aclnn_kernel.cc"", ""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/aclnn_auto_gen/adaptive_avg_pool2d_ext_aclnn_kernel.h""]","[""mindspore/ccsrc/frontend/expander/grad/grad_nn_ops.cc""]","[""tests/ut/cpp/ops/test_ops_adaptive_avg_pool2d_ext.cc""]","[""tests/st/ops/test_ops_adaptive_avg_pool2d_ext.py""]",[],[]
adaptive_avg_pool2d_grad_ext::AdaptiveAvgPool2DGradExt,adaptive_avg_pool2d_grad_ext,AdaptiveAvgPool2DGradExt,adaptive_avg_pool2d_grad_ext_op.yaml,mindspore/ops/op_def/yaml/adaptive_avg_pool2d_grad_ext_op.yaml,AdaptiveAvgPool2DGradExt,True,auto_generate,default,"[""aclnnAdaptiveAvgPool2dBackward""]","aclnn_config,auto_generate_source",true,true,true,false,false,false,false,false,"[""mindspore/ops/infer/ops_func_impl/adaptive_avg_pool2d_grad_ext.cc"", ""mindspore/ops/infer/ops_func_impl/adaptive_avg_pool2d_grad_ext.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/auto_generate/adaptive_avg_pool2d_grad_ext.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/auto_generate/aclnn_kernel_register_auto.cc""]",[],[],[],[],[]
adaptive_avg_pool3d_ext::AdaptiveAvgPool3DExt,adaptive_avg_pool3d_ext,AdaptiveAvgPool3DExt,adaptive_avg_pool3d_ext_op.yaml,mindspore/ops/op_def/yaml/adaptive_avg_pool3d_ext_op.yaml,AdaptiveAvgPool3DExt,True,customize,AdaptiveAvgPool3DExtAscend,"[""aclnnAdaptiveAvgPool3d"", ""aclnnMean""]",customize_source,true,true,true,true,true,false,false,false,"[""mindspore/ops/infer/ops_func_impl/adaptive_avg_pool3d_ext.cc"", ""mindspore/ops/infer/ops_func_impl/adaptive_avg_pool3d_ext.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/adaptive_avg_pool3d_ext.cc"", ""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/adaptive_avg_pool3d_ext.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/adaptive_avg_pool3d_ext_aclnn_kernel.cc"", ""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/adaptive_avg_pool3d_ext_aclnn_kernel.h""]","[""mindspore/ccsrc/frontend/expander/grad/grad_nn_ops.cc""]","[""tests/ut/cpp/ops/test_ops_adaptive_avg_pool3d_ext.cc""]",[],[],[]
adaptive_avg_pool3d_grad_ext::AdaptiveAvgPool3DGradExt,adaptive_avg_pool3d_grad_ext,AdaptiveAvgPool3DGradExt,adaptive_avg_pool3d_grad_ext_op.yaml,mindspore/ops/op_def/yaml/adaptive_avg_pool3d_grad_ext_op.yaml,AdaptiveAvgPool3DGradExt,True,auto_generate,default,"[""aclnnAdaptiveAvgPool3dBackward""]","aclnn_config,auto_generate_source",true,true,true,false,false,false,false,false,"[""mindspore/ops/infer/ops_func_impl/adaptive_avg_pool3d_grad_ext.cc"", ""mindspore/ops/infer/ops_func_impl/adaptive_avg_pool3d_grad_ext.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/auto_generate/adaptive_avg_pool3d_grad_ext.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/auto_generate/aclnn_kernel_register_auto.cc""]",[],[],[],[],[]
adaptive_max_pool1d::AdaptiveMaxPool1D,adaptive_max_pool1d,AdaptiveMaxPool1D,adaptive_max_pool1d_op.yaml,mindspore/ops/op_def/yaml/adaptive_max_pool1d_op.yaml,AdaptiveMaxPool1D,True,customize,AdaptiveMaxPool1DAscend,"[""aclnnAdaptiveMaxPool2d""]",customize_source,true,true,true,true,true,true,false,false,"[""mindspore/ops/infer/ops_func_impl/adaptive_max_pool1d.cc"", ""mindspore/ops/infer/ops_func_impl/adaptive_max_pool1d.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/adaptive_max_pool1d.cc"", ""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/adaptive_max_pool1d.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/adaptive_max_pool1d_aclnn_kernel.cc"", ""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/adaptive_max_pool1d_aclnn_kernel.h""]","[""mindspore/ccsrc/frontend/expander/grad/grad_nn_ops.cc""]","[""tests/ut/cpp/ops/test_ops_adaptive_max_pool1d.cc""]","[""tests/st/ops/ascend/test_adaptive_max_pool1d_op.py"", ""tests/st/ops/cpu/test_adaptive_max_pool1d_op.py"", ""tests/st/ops/gpu/test_adaptive_max_pool1d_op.py"", ""tests/st/ops/test_func_adaptive_max_pool1d.py"", ""tests/st/ops/test_ops_adaptive_max_pool1d.py""]",[],[]
adaptive_max_pool2d::AdaptiveMaxPool2D,adaptive_max_pool2d,AdaptiveMaxPool2D,adaptive_max_pool2d_op.yaml,mindspore/ops/op_def/yaml/adaptive_max_pool2d_op.yaml,AdaptiveMaxPool2D,True,customize,AdaptiveMaxPool2DAscend,"[""aclnnAdaptiveMaxPool2d""]",customize_source,true,true,true,true,false,true,false,true,"[""mindspore/ops/infer/ops_func_impl/adaptive_max_pool2d.cc"", ""mindspore/ops/infer/ops_func_impl/adaptive_max_pool2d.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/adaptive_max_pool2d.cc"", ""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/adaptive_max_pool2d.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/adaptive_max_pool2d_aclnn_kernel.cc"", ""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/adaptive_max_pool2d_aclnn_kernel.h""]","[""mindspore/ccsrc/frontend/expander/grad/grad_nn_ops.cc""]",[],"[""tests/st/ops/ascend/test_tbe_ops/test_adaptive_max_pool2d.py"", ""tests/st/ops/cpu/test_adaptive_max_pool2d_op.py"", ""tests/st/ops/dynamic_shape/grad/test_adaptive_max_pool_2d.py"", ""tests/st/ops/gpu/test_adaptive_max_pool2d_op.py"", ""tests/st/ops/test_ops_adaptive_max_pool2d.py""]",[],"[""mindspore/ops/op_def/yaml/doc/adaptive_max_pool2d_doc.yaml""]"
adaptive_max_pool2d_grad::AdaptiveMaxPool2DGrad,adaptive_max_pool2d_grad,AdaptiveMaxPool2DGrad,adaptive_max_pool2d_grad_op.yaml,mindspore/ops/op_def/yaml/adaptive_max_pool2d_grad_op.yaml,AdaptiveMaxPool2DGrad,True,customize,AdaptiveMaxPool2DGradAscend,"[""aclnnAdaptiveMaxPool2dBackward""]",customize_source,true,true,true,false,true,true,false,false,"[""mindspore/ops/infer/ops_func_impl/adaptive_max_pool2d_grad.cc"", ""mindspore/ops/infer/ops_func_impl/adaptive_max_pool2d_grad.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/adaptive_max_pool2d_grad.cc"", ""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/adaptive_max_pool2d_grad.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/adaptive_max_pool2d_grad_aclnn_kernel.cc"", ""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/adaptive_max_pool2d_grad_aclnn_kernel.h""]",[],"[""tests/ut/cpp/ops/test_ops_adaptive_max_pool2d_grad.cc""]","[""tests/st/ops/gpu/test_adaptive_max_pool2d_grad_op.py""]",[],[]
add::Add,add,Add,add_op.yaml,mindspore/ops/op_def/yaml/add_op.yaml,Add,True,customize,AddAscend,"[""aclnnAdd""]",customize_source,true,true,true,true,true,true,false,true,"[""mindspore/ops/infer/ops_frontend_func_impl/add.cc"", ""mindspore/ops/infer/ops_func_impl/add.cc"", ""mindspore/ops/infer/ops_func_impl/add.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/add.cc"", ""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/add.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/add_aclnn_kernel.cc"", ""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/add_aclnn_kernel.h""]","[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]","[""tests/ut/cpp/ops/test_ops_add.cc""]","[""tests/st/ops/ascend/test_add.py"", ""tests/st/ops/ascend/test_tbe_ops/test_add.py"", ""tests/st/ops/cpu/test_add_op.py"", ""tests/st/ops/dynamic_shape/grad/test_add.py"", ""tests/st/ops/gpu/test_add_op.py"", ""tests/st/ops/test_func_add.py""]",[],"[""mindspore/ops/api_def/function_doc/__add___doc.yaml"", ""mindspore/ops/api_def/function_doc/add_doc.yaml"", ""mindspore/ops/op_def/yaml/doc/add_doc.yaml""]"
add_ext::AddExt,add_ext,AddExt,add_ext_op.yaml,mindspore/ops/op_def/yaml/add_ext_op.yaml,AddExt,True,auto_generate,default,"[""aclnnAdd""]",aclnn_config,true,true,false,true,false,false,false,true,"[""mindspore/ops/infer/ops_func_impl/add_ext.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/auto_generate/add_ext.h""]",[],"[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]",[],[],[],"[""mindspore/ops/op_def/yaml/doc/add_ext_doc.yaml""]"
add_layer_norm_grad::AddLayerNormGrad,add_layer_norm_grad,AddLayerNormGrad,add_layer_norm_grad_op.yaml,mindspore/ops/op_def/yaml/add_layer_norm_grad_op.yaml,AddLayerNormGrad,True,auto_generate,default,"[""aclnnAddLayerNormGrad""]",auto_generate_source,true,true,true,false,true,false,false,false,"[""mindspore/ops/infer/ops_func_impl/add_layer_norm_grad.cc"", ""mindspore/ops/infer/ops_func_impl/add_layer_norm_grad.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/auto_generate/add_layer_norm_grad.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/auto_generate/aclnn_kernel_register_auto.cc""]",[],"[""tests/ut/cpp/ops/test_ops_add_layernorm_grad.cc""]",[],[],[]
add_layernorm_v2::AddLayerNormV2,add_layernorm_v2,AddLayerNormV2,add_layernorm_v2_op.yaml,mindspore/ops/op_def/yaml/add_layernorm_v2_op.yaml,AddLayerNormV2,True,customize,AddLayerNormAscend,"[""aclnnAddLayerNorm""]",customize_source,true,true,true,true,true,true,false,false,"[""mindspore/ops/infer/add_layernorm.cc"", ""mindspore/ops/infer/add_layernorm.h"", ""mindspore/ops/infer/ops_func_impl/add_layernorm_v2.cc"", ""mindspore/ops/infer/ops_func_impl/add_layernorm_v2.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/add_layernorm_v2.cc"", ""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/add_layernorm_v2.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/add_layernorm_v2_aclnn_kernel.cc"", ""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/add_layernorm_v2_aclnn_kernel.h""]","[""mindspore/ccsrc/frontend/expander/grad/grad_nn_ops.cc""]","[""tests/ut/cpp/ops/test_ops_add_layernorm_v2.cc""]","[""tests/st/ops/ascend/test_add_layernorm.py"", ""tests/st/ops/test_ops_add_layer_norm.py""]",[],[]
add_rms_norm::AddRmsNorm,add_rms_norm,AddRmsNorm,add_rms_norm_op.yaml,mindspore/ops/op_def/yaml/add_rms_norm_op.yaml,AddRmsNorm,True,customize,AddRmsNormAscend,"[""aclnnAddRmsNorm""]",customize_source,true,true,true,true,true,true,false,true,"[""mindspore/ops/infer/ops_func_impl/add_rms_norm.cc"", ""mindspore/ops/infer/ops_func_impl/add_rms_norm.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/add_rms_norm.cc"", ""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/add_rms_norm.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/add_rms_norm_aclnn_kernel.cc"", ""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/add_rms_norm_aclnn_kernel.h""]","[""mindspore/ccsrc/frontend/expander/grad/grad_nn_ops.cc""]","[""tests/ut/cpp/ops/test_ops_add_rms_norm.cc""]","[""tests/st/ops/test_ops_add_rms_norm.py""]",[],"[""mindspore/ops/op_def/yaml/doc/add_rms_norm_doc.yaml""]"
add_scalar::AddScalar,add_scalar,AddScalar,add_scalar_op.yaml,mindspore/ops/op_def/yaml/add_scalar_op.yaml,AddScalar,True,customize,AddScalarAscend,"[""aclnnAdds""]",customize_source,true,true,true,true,false,false,false,false,"[""mindspore/ops/infer/ops_func_impl/add_scalar.cc"", ""mindspore/ops/infer/ops_func_impl/add_scalar.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/add_scalar.cc"", ""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/add_scalar.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/add_scalar_aclnn_kernel.cc"", ""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/add_scalar_aclnn_kernel.h""]","[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]",[],[],[],[]
addbmm::Addbmm,addbmm,Addbmm,addbmm_op.yaml,mindspore/ops/op_def/yaml/addbmm_op.yaml,Addbmm,True,customize,AddbmmAscend,"[""aclnnAddbmm""]",customize_source,true,true,true,true,true,true,false,false,"[""mindspore/ops/infer/ops_func_impl/addbmm.cc"", ""mindspore/ops/infer/ops_func_impl/addbmm.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/addbmm.cc"", ""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/addbmm.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/addbmm_aclnn_kernel.cc"", ""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/addbmm_aclnn_kernel.h""]","[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]","[""tests/ut/cpp/ops/test_ops_addbmm.cc""]","[""tests/st/ops/test_func_addbmm.py""]",[],[]
addcdiv::Addcdiv,addcdiv,Addcdiv,addcdiv_op.yaml,mindspore/ops/op_def/yaml/addcdiv_op.yaml,Addcdiv,False,unsupported,,[],,true,false,false,true,false,true,false,true,"[""mindspore/ops/infer/ops_func_impl/addcdiv.cc"", ""mindspore/ops/infer/ops_func_impl/addcdiv.h""]",[],[],"[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]",[],"[""tests/st/ops/dynamic_shape/grad/test_addcdiv.py"", ""tests/st/ops/gpu/test_addcdiv_op.py""]",[],"[""mindspore/ops/api_def/function_doc/addcdiv_doc.yaml"", ""mindspore/ops/op_def/yaml/doc/addcdiv_doc.yaml""]"
addcdiv_ext::AddcdivExt,addcdiv_ext,AddcdivExt,addcdiv_ext_op.yaml,mindspore/ops/op_def/yaml/addcdiv_ext_op.yaml,AddcdivExt,True,auto_generate,default,"[""aclnnAddcdiv""]","aclnn_config,auto_generate_source",true,true,true,true,true,true,false,false,"[""mindspore/ops/infer/ops_func_impl/addcdiv_ext.cc"", ""mindspore/ops/infer/ops_func_impl/addcdiv_ext.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/auto_generate/addcdiv_ext.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/aclnn_auto_gen/addcdiv_ext_aclnn_kernel.cc"", ""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/aclnn_auto_gen/addcdiv_ext_aclnn_kernel.h""]","[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]","[""tests/ut/cpp/ops/test_ops_addcdiv_ext.cc""]","[""tests/st/ops/test_ops_addcdiv_ext.py""]",[],[]
addcmul::Addcmul,addcmul,Addcmul,addcmul_op.yaml,mindspore/ops/op_def/yaml/addcmul_op.yaml,Addcmul,False,unsupported,,[],,true,false,false,true,false,true,false,true,"[""mindspore/ops/infer/ops_func_impl/addcmul.cc"", ""mindspore/ops/infer/ops_func_impl/addcmul.h""]",[],[],"[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]",[],"[""tests/st/ops/dynamic_shape/grad/test_addcmul.py"", ""tests/st/ops/gpu/test_addcmul_op.py""]",[],"[""mindspore/ops/op_def/yaml/doc/addcmul_doc.yaml""]"
addcmul_ext::AddcmulExt,addcmul_ext,AddcmulExt,addcmul_ext_op.yaml,mindspore/ops/op_def/yaml/addcmul_ext_op.yaml,AddcmulExt,True,auto_generate,default,"[""aclnnAddcmul""]","aclnn_config,auto_generate_source",true,true,true,true,false,true,false,false,"[""mindspore/ops/infer/ops_func_impl/addcmul_ext.cc"", ""mindspore/ops/infer/ops_func_impl/addcmul_ext.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/auto_generate/addcmul_ext.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/aclnn_auto_gen/addcmul_ext_aclnn_kernel.cc"", ""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/aclnn_auto_gen/addcmul_ext_aclnn_kernel.h""]","[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]",[],"[""tests/st/ops/test_ops_addcmul_ext.py""]",[],[]
addmm::Addmm,addmm,Addmm,addmm_op.yaml,mindspore/ops/op_def/yaml/addmm_op.yaml,Addmm,True,customize,AddmmAscend,"[""aclnnAddmm""]",customize_source,true,true,true,true,false,false,false,false,"[""mindspore/ops/infer/ops_func_impl/addmm.cc"", ""mindspore/ops/infer/ops_func_impl/addmm.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/addmm.cc"", ""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/addmm.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/addmm_aclnn_kernel.cc"", ""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/addmm_aclnn_kernel.h""]","[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]",[],[],[],[]
