coverage_key,op,primitive,op_branch,op_yaml_path,class_name,dispatch_enable,dispatch_kind,dispatch_ascend,aclnn,aclnn_source,infer,pyboost,kbk,bprop,ut,st,docs_cn,docs_en,infer_evidence,pyboost_evidence,kbk_evidence,bprop_evidence,ut_evidence,st_evidence,docs_cn_evidence,docs_en_evidence
mse_loss_grad_ext::MSELossGradExt,mse_loss_grad_ext,MSELossGradExt,mse_loss_grad_ext_op.yaml,mindspore/ops/op_def/yaml/mse_loss_grad_ext_op.yaml,MSELossGradExt,True,customize,MSELossGradExtAscend,"[""aclnnExpand"", ""aclnnMseLossBackward""]",customize_source,true,true,true,false,true,false,false,false,"[""mindspore/ops/infer/ops_func_impl/mse_loss_grad_ext.cc"", ""mindspore/ops/infer/ops_func_impl/mse_loss_grad_ext.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/mse_loss_grad_ext.cc"", ""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/mse_loss_grad_ext.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/mse_loss_grad_ext_aclnn_kernel.cc"", ""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/mse_loss_grad_ext_aclnn_kernel.h""]",[],"[""tests/ut/cpp/ops/test_ops_mse_loss_grad_ext.cc""]",[],[],[]
mul::Mul,mul,Mul,mul_op.yaml,mindspore/ops/op_def/yaml/mul_op.yaml,Mul,True,auto_generate,default,"[""aclnnMul""]",auto_generate_source,true,true,true,true,true,true,false,true,"[""mindspore/ops/infer/ops_frontend_func_impl/mul.cc"", ""mindspore/ops/infer/ops_func_impl/mul.cc"", ""mindspore/ops/infer/ops_func_impl/mul.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/auto_generate/mul.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/auto_generate/aclnn_kernel_register_auto.cc""]","[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]","[""tests/ut/cpp/ops/test_ops_mul.cc""]","[""tests/st/ops/ascend/test_mul_op.py"", ""tests/st/ops/ascend/test_tbe_ops/test_mul.py"", ""tests/st/ops/cpu/test_mul_op.py"", ""tests/st/ops/dynamic_shape/grad/test_mul.py"", ""tests/st/ops/gpu/test_mul_op.py"", ""tests/st/ops/test_ops_mul.py""]",[],"[""mindspore/ops/api_def/function_doc/__mul___doc.yaml"", ""mindspore/ops/api_def/function_doc/mul_doc.yaml"", ""mindspore/ops/op_def/yaml/doc/mul_doc.yaml""]"
muls::Muls,muls,Muls,muls_op.yaml,mindspore/ops/op_def/yaml/muls_op.yaml,Muls,True,customize,MulsAscend,"[""aclnnMuls""]",customize_source,true,true,true,true,true,false,false,false,"[""mindspore/ops/infer/ops_frontend_func_impl/muls.cc"", ""mindspore/ops/infer/ops_func_impl/muls.cc"", ""mindspore/ops/infer/ops_func_impl/muls.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/muls.cc"", ""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/muls.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/muls_aclnn_kernel.cc"", ""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/muls_aclnn_kernel.h""]","[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]","[""tests/ut/cpp/ops/test_ops_muls.cc""]",[],[],[]
multi_scale_deformable_attn::MultiScaleDeformableAttn,multi_scale_deformable_attn,MultiScaleDeformableAttn,multi_scale_deformable_attn_op.yaml,mindspore/ops/op_def/yaml/multi_scale_deformable_attn_op.yaml,MultiScaleDeformableAttn,True,customize,MultiScaleDeformableAttnAscend,"[""aclnnCast"", ""aclnnMultiScaleDeformableAttn"", ""aclnnMultiScaleDeformableAttnFunction""]",customize_source,true,true,true,true,true,true,false,false,"[""mindspore/ops/infer/ops_func_impl/multi_scale_deformable_attn.cc"", ""mindspore/ops/infer/ops_func_impl/multi_scale_deformable_attn.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/multi_scale_deformable_attn.cc"", ""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/multi_scale_deformable_attn.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/multi_scale_deformable_attn_aclnn_kernel.cc"", ""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/multi_scale_deformable_attn_aclnn_kernel.h""]","[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]","[""tests/ut/cpp/ops/test_ops_multi_scale_deformable_attn.cc""]","[""tests/st/ops/test_ops_multi_scale_deformable_attn.py""]",[],[]
multi_scale_deformable_attn_grad::MultiScaleDeformableAttnGrad,multi_scale_deformable_attn_grad,MultiScaleDeformableAttnGrad,multi_scale_deformable_attn_grad_op.yaml,mindspore/ops/op_def/yaml/multi_scale_deformable_attn_grad_op.yaml,MultiScaleDeformableAttnGrad,True,customize,MultiScaleDeformableAttnGradAscend,"[""aclnnCast"", ""aclnnInplaceZero"", ""aclnnMultiScaleDeformableAttentionGrad"", ""aclnnMultiScaleDeformableAttnGrad""]",customize_source,true,true,true,false,true,false,false,false,"[""mindspore/ops/infer/ops_func_impl/multi_scale_deformable_attn_grad.cc"", ""mindspore/ops/infer/ops_func_impl/multi_scale_deformable_attn_grad.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/multi_scale_deformable_attn_grad.cc"", ""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/multi_scale_deformable_attn_grad.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/multi_scale_deformable_attn_grad_aclnn_kernel.cc"", ""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/multi_scale_deformable_attn_grad_aclnn_kernel.h""]",[],"[""tests/ut/cpp/ops/test_ops_multi_scale_deformable_attn_grad.cc""]",[],[],[]
multinomial_ext::MultinomialExt,multinomial_ext,MultinomialExt,multinomial_ext_op.yaml,mindspore/ops/op_def/yaml/multinomial_ext_op.yaml,MultinomialExt,True,customize,MultinomialExtAscend,"[""aclnnMultinomial""]",customize_source,true,true,true,false,true,false,false,false,"[""mindspore/ops/infer/ops_func_impl/multinomial_ext.cc"", ""mindspore/ops/infer/ops_func_impl/multinomial_ext.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/multinomial_ext.cc"", ""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/multinomial_ext.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/multinomial_ext_aclnn_kernel.cc"", ""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/multinomial_ext_aclnn_kernel.h""]",[],"[""tests/ut/cpp/ops/test_ops_multinomial_ext.cc""]",[],[],[]
mv::Mv,mv,Mv,mv_op.yaml,mindspore/ops/op_def/yaml/mv_op.yaml,Mv,True,customize,MvAscend,"[""aclnnMv""]",customize_source,true,true,true,true,true,true,false,true,"[""mindspore/ops/infer/ops_func_impl/mv.cc"", ""mindspore/ops/infer/ops_func_impl/mv.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/mv.cc"", ""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/mv.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/mv_aclnn_kernel.cc"", ""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/mv_aclnn_kernel.h""]","[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]","[""tests/ut/cpp/ops/test_ops_mv.cc""]","[""tests/st/ops/test_ops_mv.py""]",[],"[""mindspore/ops/op_def/yaml/doc/mv_doc.yaml""]"
nan_to_num::NanToNum,nan_to_num,NanToNum,nan_to_num_op.yaml,mindspore/ops/op_def/yaml/nan_to_num_op.yaml,NanToNum,True,customize,NanToNumAscend,"[""aclnnNanToNum""]",customize_source,true,true,true,true,true,true,false,true,"[""mindspore/ops/infer/ops_func_impl/nan_to_num.cc"", ""mindspore/ops/infer/ops_func_impl/nan_to_num.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/nan_to_num.cc"", ""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/nan_to_num.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/nan_to_num_aclnn_kernel.cc"", ""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/nan_to_num_aclnn_kernel.h""]","[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]","[""tests/ut/cpp/ops/test_ops_nantonum.cc""]","[""tests/st/ops/test_func_nan_to_num.py""]",[],"[""mindspore/ops/op_def/yaml/doc/nan_to_num_doc.yaml""]"
nansum::Nansum,nansum,Nansum,nansum_op.yaml,mindspore/ops/op_def/yaml/nansum_op.yaml,Nansum,True,customize,NansumAscend,"[""aclnnReduceNansum""]",customize_source,true,true,true,true,true,true,false,true,"[""mindspore/ops/infer/ops_func_impl/nansum.cc"", ""mindspore/ops/infer/ops_func_impl/nansum.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/nansum.cc"", ""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/nansum.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/nansum_aclnn_kernel.cc"", ""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/nansum_aclnn_kernel.h""]","[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]","[""tests/ut/cpp/ops/test_ops_nansum.cc""]","[""tests/st/ops/test_func_nansum.py""]",[],"[""mindspore/ops/api_def/function_doc/nansum_doc.yaml"", ""mindspore/ops/op_def/yaml/doc/nansum_doc.yaml""]"
narrow::Narrow,narrow,Narrow,narrow_op.yaml,mindspore/ops/op_def/yaml/narrow_op.yaml,Narrow,True,auto_generate,default,"[""aclnnNarrow""]",default_guess,true,false,false,true,true,true,false,true,"[""mindspore/ops/infer/ops_func_impl/narrow.cc"", ""mindspore/ops/infer/ops_func_impl/narrow.h""]",[],[],"[""mindspore/ccsrc/frontend/expander/grad/grad_array_ops.cc""]","[""tests/ut/cpp/ops/test_ops_narrow.cc"", ""tests/ut/cpp/ops/view/test_narrow.cc""]","[""tests/st/ops/test_ops_narrow.py""]",[],"[""mindspore/ops/op_def/yaml/doc/narrow_doc.yaml""]"
